# 当前任务队列（✅ 已审核）

> 本表只保存已排好固定顺序的 `dispatchState=ready` 工作。行顺序就是调度顺序；正文、阻塞与冻结状态读取对应任务卡和分线 backlog。
> 普通轮次按顺序选择第一项当前可安全执行的工作；队列只在任务进入、状态变化、完成、复审转换、负责人重排或空队列事件中维护。

| ID | 路由 | 主责 | 优先级 | 领域 | 阶段 | 标题 | 任务卡 |
|----|------|------|--------|------|------|------|--------|
| C-HS-YY-JD-01A | codex_review | codex | P1 | content | design | 金丹位格·木道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01A.txt |
| C-HS-YY-JD-01B | codex_review | codex | P1 | content | design | 金丹位格·火道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01B.txt |
| C-HS-YY-JD-01C | codex_review | codex | P1 | content | design | 金丹位格·土道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01C.txt |
| C-HS-YY-JD-01D | codex_review | codex | P1 | content | design | 金丹位格·金道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01D.txt |
| C-HS-YY-JD-01E | external_execute | deepseek | P1 | content | design | 金丹位格·水道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01E.txt |
| C-HS-YY-JD-01F | external_execute | deepseek | P1 | content | design | 金丹位格·见识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01F.txt |
| C-HS-YY-JD-01G | external_execute | deepseek | P1 | content | design | 金丹位格·闻识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01G.txt |
| C-HS-YY-JD-01H | external_execute | deepseek | P1 | content | design | 金丹位格·息识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01H.txt |
| C-HS-YY-JD-01I | external_execute | deepseek | P1 | content | design | 金丹位格·食识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01I.txt |
| C-HS-YY-JD-01J | external_execute | deepseek | P1 | content | design | 金丹位格·身识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01J.txt |
| C-HS-YY-JD-01K | external_execute | deepseek | P1 | content | design | 金丹位格·意识道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01K.txt |
| C-HS-YY-JD-01L | external_execute | deepseek | P1 | content | design | 金丹位格·阴道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01L.txt |
| C-HS-YY-JD-01M | external_execute | deepseek | P1 | content | design | 金丹位格·阳道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01M.txt |
| C-HS-YY-JD-01N | external_execute | deepseek | P1 | content | design | 金丹位格·宇道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01N.txt |
| C-HS-YY-JD-01O | external_execute | deepseek | P1 | content | design | 金丹位格·宙道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01O.txt |
| C-HS-YY-JD-01P | external_execute | deepseek | P1 | content | design | 金丹位格·因道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01P.txt |
| C-HS-YY-JD-01Q | external_execute | deepseek | P1 | content | design | 金丹位格·果道路三位置内容生产 | 开发管理/任务卡/C-HS-YY-JD-01Q.txt |
| U-GZ-UI-TEXT-01 | codex_review | codex | P1 | unity | implementation | 关中正式薄切片基础 UI 文本接入 | 开发管理/任务卡/U-GZ-UI-TEXT-01.txt |
