# 多语言文本映射表
# 格式: id, zh_CN
# 所有其他 CSV 表中的文本字段均使用此表中的 ID 引用
#
# === 门派/势力 ===
faction_taiyidaoting,太一道庭
faction_sanxiu,散修
#
# === 品级 ===
grade_low,下品
grade_mid,中品
grade_high,上品
grade_top,极品
#
# === 元素/灵根 ===
element_water,水
element_fire,火
element_wind,风
element_earth,土
element_metal,金
element_water_or_wind,风灵根或水灵根
element_water_root,水灵根
element_fire_root,火灵根
element_metal_root,金灵根
element_any_root,任意灵根
#
# === 境界 ===
realm_fanren,凡人
realm_lianqi,练气
realm_zhuji,筑基
realm_jindan,金丹
realm_yuanying,元婴
realm_huashen,化神
realm_lianxu,炼虚
#
# === 敌人类型 ===
type_yaoshou,妖兽
type_moxiu,魔修
#
# === AI 类型 ===
ai_melee,近战
ai_ranged,远程
ai_magic,法术
#
# === 功法 ===
gongfa_baoyuanshouyi,抱元守一经
#
# === 功法篇章 ===
chapter_shouyi,守一篇
chapter_baoyuan,抱元篇
chapter_zhixu,致虚篇
chapter_shoujing,守静篇
chapter_guigen,归根篇
chapter_fuming,复命篇
#
# === 术法 ===
spell_xuanshuizhou,玄水咒
spell_canglangji,沧浪击
spell_anshenfu,安神符
spell_jinguangpoyue,金光破岳
spell_liuhuolingfu,流火灵符
spell_anshi,暗噬
#
# === 神通 ===
skill_jiuzhuanhuandan,九转还丹
skill_zhengqisuozhi,征旗所指
#
# === 角色 ===
char_taiyixiushi,太一修士
char_sanxiuqiangdao,散修强盗
#
# === 敌人 ===
enemy_shijiahou,石甲兽
enemy_yanweihu,焰尾狐
enemy_xueyingmoxiu,血影魔修
enemy_huangyesanxiu,荒野散修
#
# === 物品/掉落 ===
item_shijia_piece,石甲碎片
item_lingshi_low,劣质灵石
item_yanwei_fur,焰尾毛
item_huoling_crystal,火灵晶
item_mohe_piece,魔核碎片
item_xuelian_stone,血炼石
item_sanxiu_token,散修令牌
item_lingshi_bag,灵石袋
#
# === 特殊效果描述 ===
desc_shouyi_stack,守一印记：每回合未移动获1层，每层神魂攻击+4%
desc_shouyi_block,守一上限+2，受击消耗1层减伤20%
desc_shouyi_full,满层神魂防御+15%，开局获2层
desc_shouyi_extra,每层额外神魂防御+3%，满层MP消耗-25%，减伤20%→30%
desc_danhuo_penetration,丹火穿透魂盾
desc_zhengtao_wushi,征讨目标，无视格挡
#
# === 敌人描述 ===
desc_enemy_shijiahou,低阶妖兽，皮糙肉厚，适合新手练手
desc_enemy_yanweihu,火系妖兽，远程法术攻击，掉落火系素材
desc_enemy_xueyingmoxiu,筑基期魔修，善用暗系术法，掉落魔道材料
desc_enemy_huangyesanxiu,练气期散修，以水法自保，掉落散修通用物品
enemy_fengsun,风隼
item_fengsun_feather,风隼翎羽
desc_enemy_fengsun,风系妖兽，迅捷灵动擅长闪避，以翎羽为刃伤敌
desc_enemy_huangyesanxiu,练气期散修，以水法自保，掉落散修通用物品
# === 新增门派 ===
faction_yuqingya,玉清崖
faction_hunyuanshan,混元山
faction_taixuguan,太虚观
# === 新增元素 ===
element_thunder,雷
element_dark,暗
# === 玉清崖功法 ===
gongfa_jiuxiaoleijie,九霄雷劫录
gongfa_kuxingjiandian,苦行剑典
gongfa_jileiposhan,疾雷破山经
gongfa_leicnicuiti,雷池淬体功
# === 混元山功法 ===
gongfa_hanhongguangda,含弘光大典
gongfa_baiwuqingyun,白屋青云录
gongfa_hunyuantongchen,混元同尘典
gongfa_shengmozhengfa,绳墨正法录
# === 太虚观功法 ===
gongfa_wanwubuqian,万物不迁法
gongfa_buzhenzixu,不真自虚法
gongfa_nanhuaxuangan,南华玄感录
gongfa_xinwuxingyou,心无性有法
# === 元素灵根要求 ===
element_thunder_root,雷灵根
element_dark_root,暗灵根
element_earth_root,土灵根
element_thunder_and_metal,雷灵根且金灵根
element_metal_or_thunder,金灵根或雷灵根

# === 玉清崖术法 ===
# === 玉清崖术法 ===
spell_yinleijue,引雷诀
spell_kuxingjianshi,苦行剑式
spell_jianganghuti,剑罡护体
spell_tianleiyin,天雷引
spell_leidunbu,雷遁步
spell_jiuxiaotaiyizhan,九霄太乙斩
spell_wuleihongding,五雷轰顶
spell_leicnicuiti_spell,雷池淬体
spell_wanjianchaozong,万剑朝宗
spell_tianjieyin,天劫引
spell_renjianheyi,人剑合一
spell_jiuxiaoleifa,九霄雷罚
spell_leijiankaitian,雷剑开天

# === 混元山术法 ===
spell_tiegugong,铁骨功
spell_pozhenchongfeng,破阵冲锋
spell_menshice,扪虱策
spell_xuanjiatiebi,玄甲铁壁
spell_mingjinhaoling,鸣金号令
spell_hengshaoqianjun,横扫千军
spell_shuwurushan,束伍如山
spell_tiesuolianzhou,铁索连舟
spell_jindaoduanyan,金刀断燕
spell_toubianduanliu,投鞭断流
spell_hufubingce,虎符兵策
spell_wanchengtianwei,万乘天威
spell_jianbiqingye,坚壁清野
spell_hunyunguiyi,混元归一

# === 太虚观术法 ===
spell_anshi,暗蚀
spell_youmingyin,幽冥引
spell_rumengjue,入梦诀
spell_yehuozhou,业火咒
spell_dimafengling,地脉封灵
spell_huangquanzhaoying,黄泉照影
spell_mengyanxixin,梦魇蚀心
spell_yinguosilv,因果丝线
spell_lunhuichanxiang,轮回残响
spell_hunguibian,魂归彼岸
spell_yongjiehuilang,永劫回廊
spell_suhuijuexing,宿慧觉醒
spell_sanqianmengjie,三千梦界
spell_yinguodaoxuan,因果倒悬
spell_lunhuibian,轮回彼岸

# === 玉清崖神通 ===
skill_jianxintongming,剑心通明
skill_tianjieyinji,天劫印记
skill_leijiandianxu,雷剑破虚
skill_leijieyimai,雷劫遗脉
skill_kuxingshiyue,苦行誓约
skill_jianyu_wanguizong,剑域·万剑归宗

# === 混元山神通 ===
skill_bumiejinshen,不灭金身
skill_tiexuezhengqi,铁血征旗
skill_zhanchangzhijue,战场直觉
skill_tiexuejunhun,铁血军魂
skill_wanjuntongling,万军统领
skill_zhanyu_tiexuezhengqi,战域·铁血征旗

# === 太虚观神通 ===
skill_yinguodaozhuan,因果倒转
skill_mengjiexingzhou,梦界行舟
skill_shenhunbumie,神魂不灭
skill_shuanghuntongti,双魂同体
skill_suhuilunhui,宿慧轮回
skill_yinguokehen,因果刻痕
skill_hunyu_huangquan,魂域·黄泉幻界

# === 功法篇章效果描述 ===
desc_leijie_mark,雷劫印记：受击叠层→出手消耗，每层+15%物伤
desc_leijie_5stack,印记上限5层，每层+18%
desc_leijie_amplify,每层+25%，满层魂防-20%
desc_leijie_wanjun,万钧天刑：消耗印记造成肉攻x3.0伤害
desc_leijie_mandate,每层+30%
desc_leijie_furnace,天地为炉：上回合受伤转额外伤害
desc_blood_sword,血剑气：消耗HP10%造成肉攻x1.5物伤，无视格挡
desc_duanlong,倍率1.8，HP<50%时x1.3
desc_wujuan,倍率2.2
desc_xuefeng,倍率2.8，HP<20%时可消耗减半
desc_gujian,倍率3.5，无视所有防御效果，孤剑诀
desc_lightning_armor,雷罡：附加雷伤肉攻x10%，破防30%
desc_break_mountain,雷附伤x20%，破防50%，暴击计数器2
desc_wanjun,雷附伤x30%破防70%，暴击率+15%
desc_buxi,雷附伤x40%，暴击后冷却-10
desc_ceaseless,不息：惊雷闪CT限制移除
desc_zhiren,至人：雷附伤x50%，惊雷闪可每回合释放
desc_lightning_sense,雷感：雷池修炼速度x3，被劈+0.1%雷抗
desc_lightning_quench,引雷淬体：修炼x3.5，HP上限+1%/3次
desc_iron_bone,雷肌铁骨：修炼x4，HP上限+1%/2次，物防+15%
desc_thunder_body,雷霆之躯：修炼x4.5
desc_indestructible,不坏：修炼x5
desc_kunde,坤德：肉身防御+10%，防御姿态减免5%
desc_zaiwu,厚德载物：防御+15%，载物被动HP降则防升
desc_kunyuan,坤元：防御+20%，坤元守护分摊30%
